publish_date,positive,neutral,negative,total
2024-11-11,0.00019521635840646923,0.00020265568455215546,0.9996021389961243,negative
2024-11-12,0.022786654943907206,0.00022117284825071693,0.9769921786744487,negative
2024-11-13,0.019530754523245073,0.0007641923717358925,0.9797050580987707,negative
2024-11-14,0.025299186229949554,0.000539375982407364,0.9741614356637001,negative
2024-11-15,0.7028066513224206,0.005560073172351362,0.2916332693253589,positive
2024-11-17,0.00018951465608552098,0.0002484345561242662,0.9995620310306549,negative
2024-11-18,0.020966027139554543,0.0006496167060201212,0.9783843568622503,negative
2024-11-19,0.0005282093700063544,0.0016236203917489752,0.9978481663597955,negative
2024-11-20,0.008910394621182748,0.014347609514401194,0.9767420054266328,negative
2024-11-21,0.01639302463904292,0.0002393117290473758,0.9833676594531594,negative
2024-11-22,0.0398800813093203,0.0002768054549505905,0.9598431077865826,negative
2024-11-23,0.00015451305080205202,0.00020184145832899958,0.9996436059474945,negative
2024-11-24,0.00016853894533899922,0.00019295260814639428,0.9996385256449382,negative
2024-11-25,0.00016657603749384482,0.0001772846260185664,0.9996561447779339,negative
