publish_date,positive,neutral,negative,total
2024-10-30,0.20064300671801902,0.0002951743663288653,0.7990617991425097,negative
2024-11-08,0.0019907678302843123,0.0002527451899368316,0.9977564692497254,negative
2024-11-10,0.4222955601213751,0.15990982117677607,0.4177946241160568,positive
2024-11-11,0.17552351049183498,0.0021966568178065833,0.8222798344764777,negative
2024-11-12,0.09431805142209798,0.03751194577482585,0.8681700016882378,negative
2024-11-13,0.06636854885015055,0.06425178248655154,0.869379660241668,negative
2024-11-14,0.1721245670083016,0.0648266947780748,0.7630487406338369,negative
2024-11-15,0.24427414294177047,0.13624038755156412,0.6194854722915786,negative
2024-11-16,0.0001889739854959771,0.0001898234448162839,0.9996211886405945,negative
2024-11-17,0.0664856274612248,0.00031663241776792953,0.9331977582226196,negative
2024-11-18,0.35451311338692904,0.0007935107066129734,0.6446933731802605,negative
2024-11-19,0.010247991018695756,0.00029595750529551876,0.9894560545682908,negative
2024-11-20,0.2173935105108049,0.034902392174707426,0.7477040971523147,negative
2024-11-21,0.12895468115020778,0.3118350067279867,0.5592103213798033,negative
2024-11-22,0.05133196226930809,0.000989881538037464,0.9476781612250896,negative
2024-11-23,0.11556833656795788,0.0007291970920050517,0.8837024629116058,negative
2024-11-25,0.00016593089385423808,0.000550111205666326,0.9992839455604553,negative
